,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
399,Jaïro Riedewald\7a1f2c08,nl NED,MF,Crystal Palace,23,1996,20.2,33,21,15,15,3,13,37,35.1,24,297,85,28.6,114,148,35,46,7,0,39,24,57,29,0,Matches
400,Matt Ritchie\71ef519e,sct SCO,DFMF,Newcastle Utd,30,1989,15.0,17,9,7,5,5,5,21,23.8,16,152,32,21.1,71,53,28,31,2,0,29,23,40,43,0,Matches
401,Tyler Roberts\6c17e046,wls WAL,MFFW,Leeds United,21,1999,14.9,18,8,4,10,4,4,21,19.0,17,261,64,24.5,42,134,85,20,3,0,17,9,27,14,1,Matches
402,Andrew Robertson\2e4f5f03,sct SCO,DF,Liverpool,26,1994,37.6,53,28,30,16,7,31,64,48.4,33,353,120,34.0,117,127,109,62,10,1,52,34,87,91,1,Matches
403,Antonee Robinson\289601e6,us USA,DF,Fulham,22,1997,24.0,48,27,26,15,7,19,42,45.2,23,249,84,33.7,120,71,58,52,5,0,47,44,92,83,0,Matches
404,Callum Robinson\e75750a3,ie IRL,FWMF,West Brom,25,1995,17.3,14,7,8,4,2,5,18,27.8,13,258,61,23.6,44,91,123,16,0,0,16,14,28,9,0,Matches
405,Jack Robinson\7399c7a8,eng ENG,DF,Sheffield Utd,26,1993,9.7,16,10,10,5,1,6,7,85.7,1,79,25,31.6,40,28,11,12,5,0,7,17,33,60,0,Matches
406,Hal Robson-Kanu\fb2dec57,wls WAL,FWMF,West Brom,31,1989,6.2,3,3,1,1,1,0,0,,0,87,14,16.1,8,41,38,5,0,0,5,4,7,4,0,Matches
407,Marek Rodák\17acc2ed,sk SVK,GK,Fulham,23,1996,2.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0,Matches
408,Joe Rodon\8d62d31a,wls WAL,DF,Tottenham,22,1997,8.1,15,9,12,3,0,4,5,80.0,1,78,20,25.6,55,20,3,15,9,0,6,13,28,51,1,Matches
409,Rodri\6434f10d,es ESP,MF,Manchester City,24,1996,30.5,83,60,32,38,13,31,72,43.1,41,514,196,38.1,169,272,73,42,13,0,29,40,123,73,2,Matches
410,Rodrigo\1fb1c435,es ESP,MFFW,Leeds United,29,1991,14.3,20,13,11,5,4,2,22,9.1,20,259,66,25.5,47,124,88,9,0,0,9,9,29,16,0,Matches
411,James Rodríguez\715bf047,co COL,FWMF,Everton,29,1991,19.6,20,14,5,12,3,8,43,18.6,35,250,61,24.4,75,118,57,24,0,0,24,16,36,1,0,Matches
412,Jay Rodriguez\4ab53cdb,eng ENG,FWMF,Burnley,31,1989,14.1,28,14,8,11,9,6,19,31.6,13,308,67,21.8,45,134,129,27,5,0,22,4,32,6,0,Matches
413,Oriol Romeu\4b511457,es ESP,MF,Southampton,28,1991,19.6,68,35,27,37,4,22,65,33.8,43,344,104,30.2,129,190,25,32,6,0,26,27,95,19,0,Matches
414,John Ruddy\da8b19e2,eng ENG,GK,Wolves,33,1986,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
415,Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,27,1993,19.0,30,18,16,11,3,12,18,66.7,6,166,66,39.8,90,63,13,21,11,0,10,15,45,89,0,Matches
416,Mathew Ryan\4535e4bb,au AUS,GK,Brighton,28,1992,11.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,1,0,Matches
417,Mathew Ryan\4535e4bb,au AUS,GK,Arsenal,28,1992,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
418,Allan Saint-Maximin\2b16cb1a,fr FRA,FWMF,Newcastle Utd,23,1997,17.3,15,11,5,9,1,1,8,12.5,7,211,52,24.6,39,115,57,13,1,0,12,9,24,0,0,Matches
419,Romain Saïss\9fbbcf39,ma MAR,DF,Wolves,30,1990,26.7,37,18,25,12,0,7,22,31.8,15,259,78,30.1,167,87,5,43,16,3,27,39,76,165,2,Matches
420,Bukayo Saka\bc7dc64d,eng ENG,FWDF,Arsenal,18,2001,28.4,34,19,13,16,5,4,30,13.3,26,394,111,28.2,97,162,135,40,2,0,38,27,61,32,0,Matches
421,Mamadou Sakho\87935cf3,fr FRA,DF,Crystal Palace,30,1990,3.1,4,2,1,3,0,3,3,100.0,0,14,6,42.9,8,6,0,3,2,0,1,0,4,14,1,Matches
422,Mohamed Salah\e342ad68,eg EGY,FW,Liverpool,28,1992,34.2,26,13,6,7,13,6,16,37.5,10,553,153,27.7,45,165,343,14,1,0,13,9,35,11,1,Matches
423,Mohammed Salisu\0b33f6ad,gh GHA,DF,Southampton,21,1999,9.4,32,19,22,9,1,13,27,48.1,14,149,61,40.9,75,63,11,25,5,0,20,26,58,38,0,Matches
424,Davinson Sánchez\da7b447d,co COL,DF,Tottenham,24,1996,16.5,40,25,31,9,0,19,30,63.3,11,155,49,31.6,104,44,7,19,12,0,7,14,54,123,0,Matches
425,Robert Sánchez\6a713852,es ESP,GK,Brighton,22,1997,27.0,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0,Matches
426,Morgan Sanson\6e7f1353,fr FRA,MF,Aston Villa,25,1994,3.3,6,5,5,1,0,0,5,0.0,5,103,34,33.0,30,48,25,4,0,0,4,7,13,4,0,Matches
427,Romaine Sawyers\77bb1522,kn SKN,MF,West Brom,28,1991,16.5,31,19,21,9,1,10,36,27.8,26,332,81,24.4,165,143,24,18,2,0,16,22,53,15,1,Matches
428,Dane Scarlett\21945a9e,eng ENG,FW,Tottenham,16,2004,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0,Matches
429,Fabian Schär\c8aa95da,ch SUI,DF,Newcastle Utd,28,1991,13.8,19,9,14,5,0,7,22,31.8,15,110,33,30.0,65,41,4,24,13,0,11,22,41,63,1,Matches
430,Jeffrey Schlupp\3312f911,gh GHA,MF,Crystal Palace,27,1992,15.9,37,20,17,13,7,8,24,33.3,16,247,68,27.5,87,114,46,35,8,0,27,21,58,15,1,Matches
431,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,33,1986,38.0,0,0,0,0,0,0,0,,0,5,0,0.0,5,0,0,0,0,0,0,0,0,0,0,Matches
432,Nélson Semedo\d04b94db,pt POR,DF,Wolves,26,1993,33.1,85,53,55,19,11,39,70,55.7,31,552,164,29.7,271,185,96,54,12,0,42,45,130,89,0,Matches
433,Femi Seriki\e4e0deaa,eng ENG,DF,Sheffield Utd,18,2002,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
434,Jamie Shackleton\8d03ca5a,eng ENG,MFDF,Leeds United,20,1999,5.1,8,5,4,4,0,1,8,12.5,7,74,18,24.3,21,37,16,7,1,0,6,6,14,5,0,Matches
435,Xherdan Shaqiri\6421ec64,ch SUI,MFFW,Liverpool,28,1991,6.2,6,4,4,1,1,2,6,33.3,4,100,33,33.0,22,36,42,8,0,0,8,4,10,1,0,Matches
436,Billy Sharp\e8c9f4e9,eng ENG,FW,Sheffield Utd,34,1986,8.2,7,5,0,5,2,3,10,30.0,7,145,34,23.4,13,63,69,2,0,0,2,3,10,1,0,Matches
437,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,25,1995,29.5,61,44,29,22,10,24,42,57.1,18,363,138,38.0,129,151,83,62,10,0,52,29,90,54,2,Matches
438,Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,28,1992,29.1,48,25,26,18,4,12,51,23.5,39,387,76,19.6,165,170,52,35,12,1,23,43,91,67,0,Matches
439,Shola Shoretire\00f0482f,eng ENG,FW,Manchester Utd,16,2004,0.1,0,0,0,0,0,0,0,,0,11,3,27.3,3,6,2,0,0,0,0,0,0,0,0,Matches
440,Gylfi Sigurðsson\76dd1480,is ISL,MF,Everton,30,1989,25.0,35,21,10,18,7,11,39,28.2,28,476,114,23.9,120,244,112,48,4,0,44,31,66,21,0,Matches
441,Bernardo Silva\3eb22ec9,pt POR,MFFW,Manchester City,25,1994,22.9,32,21,12,14,6,11,45,24.4,34,375,111,29.6,71,174,130,20,1,0,19,21,53,9,0,Matches
442,Fábio Silva\e7aa9d7c,pt POR,FW,Wolves,18,2002,15.2,10,6,2,5,3,3,11,27.3,8,261,70,26.8,30,124,107,12,1,0,11,5,15,5,0,Matches
443,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,35,1984,21.5,23,13,16,6,1,9,18,50.0,9,102,39,38.2,47,51,4,26,13,1,13,28,51,114,1,Matches
444,Moussa Sissoko\2acd49b9,fr FRA,MF,Tottenham,30,1989,17.6,25,20,21,3,1,7,21,33.3,14,242,75,31.0,135,84,23,27,5,0,22,16,41,32,0,Matches
445,Islam Slimani\ffec9769,dz ALG,FW,Leicester City,32,1988,0.2,0,0,0,0,0,0,0,,0,5,2,40.0,0,3,2,0,0,0,0,0,0,0,0,Matches
446,William Smallbone\5e105217,ie IRL,MF,Southampton,20,2000,1.9,6,4,2,3,1,1,4,25.0,3,43,18,41.9,9,21,13,5,0,0,5,1,7,2,0,Matches
447,Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,20,2000,16.0,14,8,7,5,2,7,16,43.8,9,241,62,25.7,53,102,86,17,1,0,16,14,28,15,0,Matches
448,Robert Snodgrass\9f4647e9,sct SCO,MFFW,West Brom,32,1987,5.8,20,12,13,5,2,8,18,44.4,10,86,25,29.1,34,34,18,13,3,0,10,4,24,12,0,Matches
449,Robert Snodgrass\9f4647e9,sct SCO,FWDF,West Ham,32,1987,0.1,1,1,0,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,Matches
450,Cédric Soares\839c14e1,pt POR,DF,Arsenal,28,1991,8.3,16,10,9,5,2,6,22,27.3,16,116,35,30.2,52,43,21,14,2,0,12,8,24,21,0,Matches
451,Tomáš Souček\6613c819,cz CZE,MF,West Ham,25,1995,38.0,83,50,41,34,8,25,86,29.1,61,603,163,27.0,221,291,91,56,21,0,35,55,138,145,1,Matches
452,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,24,1996,20.2,31,16,14,17,0,10,31,32.3,21,166,55,33.1,93,64,9,22,10,0,12,27,58,109,2,Matches
453,Zack Steffen\42130443,us USA,GK,Manchester City,25,1995,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
454,Dale Stephens\653ee42d,eng ENG,MF,Burnley,31,1989,2.9,10,4,3,5,2,5,8,62.5,3,48,15,31.3,15,27,6,3,0,0,3,3,13,0,0,Matches
455,Jack Stephens\6adbc307,eng ENG,DF,Southampton,26,1994,17.1,37,19,22,14,1,17,38,44.7,21,169,58,34.3,95,65,9,41,13,0,28,25,62,84,1,Matches
456,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,25,1994,28.2,20,18,4,13,3,6,19,31.6,13,288,83,28.8,37,136,115,17,1,0,16,14,34,2,0,Matches
457,Enda Stevens\17d4507a,ie IRL,DF,Sheffield Utd,30,1990,30.0,53,23,29,18,6,21,58,36.2,37,417,92,22.1,195,154,68,60,14,1,46,47,100,95,2,Matches
458,John Stones\5eecec3d,eng ENG,DF,Manchester City,26,1994,21.5,20,12,13,5,2,7,14,50.0,7,130,51,39.2,67,54,9,31,14,0,17,20,40,77,0,Matches
459,Pascal Struijk\f4d296e4,nl NED,DFMF,Leeds United,20,1999,23.1,56,29,37,18,1,14,29,48.3,15,382,118,30.9,204,155,23,52,23,0,29,41,97,102,1,Matches
460,Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,21,1999,5.4,4,4,4,0,0,1,3,33.3,2,76,22,28.9,40,24,12,9,4,0,5,2,6,19,0,Matches
461,Matt Targett\e514ab62,eng ENG,DF,Aston Villa,24,1995,37.8,97,57,51,30,16,52,98,53.1,46,425,131,30.8,219,136,70,81,18,0,63,47,144,126,1,Matches
462,James Tarkowski\15ea812b,eng ENG,DF,Burnley,27,1992,36.0,74,42,60,10,4,30,54,55.6,24,252,104,41.3,174,68,10,70,46,2,24,57,131,236,1,Matches
463,Percy Tau\4d0eb7d2,za RSA,FWMF,Brighton,26,1994,1.1,1,0,1,0,0,1,2,50.0,1,30,3,10.0,9,11,10,2,0,0,2,0,1,0,0,Matches
464,Sidnei Tavares\3add8ed8,pt POR,MF,Leicester City,18,2001,0.9,0,0,0,0,0,0,0,,0,19,7,36.8,8,9,2,1,1,0,0,1,1,0,0,Matches
465,Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,26,1993,27.0,46,25,25,13,8,22,48,45.8,26,226,71,31.4,96,96,34,67,19,0,48,28,74,96,1,Matches
466,Neil Taylor\c2f9d19f,wls WAL,DF,Aston Villa,31,1989,0.2,1,0,1,0,0,0,0,,0,4,0,0.0,3,0,1,0,0,0,0,0,1,0,0,Matches
467,Allan Tchaptchet\ab7d7882,fr FRA,DF,Southampton,18,2001,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
468,Nathan Tella\f1e94cd6,eng ENG,FWMF,Southampton,21,1999,8.3,12,8,1,5,6,5,15,33.3,10,222,56,25.2,32,107,83,13,0,0,13,9,21,5,0,Matches
469,Alex Telles\e73c9bb2,br BRA,DF,Manchester Utd,27,1992,7.7,12,6,10,2,0,5,14,35.7,9,68,22,32.4,38,20,10,11,1,0,10,12,24,27,0,Matches
470,Kenny Tete\77d7c96f,nl NED,DF,Fulham,24,1995,16.5,59,29,34,18,7,16,27,59.3,11,250,79,31.6,121,89,40,30,5,0,25,29,88,61,0,Matches
471,William Thomas Fish\b2ee9d2c,eng ENG,DF,Manchester Utd,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
472,Luke Thomas\fc027d02,eng ENG,DF,Leicester City,19,2001,10.8,23,8,11,4,8,6,13,46.2,7,194,59,30.4,75,80,39,28,3,0,25,16,39,26,0,Matches
473,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,23,1997,37.3,77,56,31,30,16,27,95,28.4,68,505,182,36.0,162,245,98,57,11,0,46,36,113,29,0,Matches
474,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,23,1997,25.5,29,17,8,13,8,9,28,32.1,19,197,65,33.0,69,80,48,50,11,0,39,20,49,77,0,Matches
475,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,31,1989,6.1,6,4,4,2,0,5,6,83.3,1,39,11,28.2,30,9,0,8,3,0,5,5,11,52,0,Matches
476,Fikayo Tomori\7edfbb8a,eng ENG,DF,Chelsea,22,1997,0.5,3,2,1,2,0,2,2,100.0,0,3,1,33.3,3,0,0,4,3,0,1,1,4,8,0,Matches
477,Ferrán Torres\9e1035f8,es ESP,FWMF,Manchester City,20,2000,14.5,15,8,6,6,3,7,22,31.8,15,217,66,30.4,37,93,87,17,1,0,16,7,22,6,0,Matches
478,Cenk Tosun\9a104dee,tr TUR,FW,Everton,29,1991,0.5,0,0,0,0,0,0,0,,0,8,1,12.5,2,4,2,0,0,0,0,0,0,0,0,Matches
479,Andros Townsend\b28bbd58,eng ENG,MFFW,Crystal Palace,29,1991,25.1,69,36,39,20,10,26,92,28.3,66,533,134,25.1,242,201,90,61,2,0,59,48,117,12,0,Matches
480,Conor Townsend\4dc4f138,eng ENG,DF,West Brom,27,1993,24.8,56,32,37,14,5,31,54,57.4,23,272,93,34.2,130,102,40,45,16,2,29,40,96,65,1,Matches
481,Adama Traoré\9a28eba4,es ESP,FW,Wolves,24,1996,29.4,32,23,15,12,5,9,20,45.0,11,345,107,31.0,78,184,83,28,2,0,26,11,43,16,1,Matches
482,Bertrand Traoré\c47541e0,bf BFA,FW,Aston Villa,24,1995,25.7,26,9,9,8,9,9,39,23.1,30,389,74,19.0,106,157,126,26,1,0,25,23,49,16,0,Matches
483,Trézéguet\3ae14ed1,eg EGY,FW,Aston Villa,25,1994,13.0,32,18,13,12,7,11,38,28.9,27,304,67,22.0,91,119,94,27,1,0,26,11,43,16,0,Matches
484,Leandro Trossard\38ceb24a,be BEL,FWMF,Brighton,25,1994,29.0,27,20,7,16,4,6,31,19.4,25,425,131,30.8,104,173,148,41,4,0,37,24,51,5,0,Matches
485,Kostas Tsimikas\f315ca93,gr GRE,DFFW,Liverpool,24,1996,0.1,0,0,0,0,0,0,0,,0,4,3,75.0,0,2,2,0,0,0,0,0,0,0,0,Matches
486,Axel Tuanzebe\2baec6ce,eng ENG,DF,Manchester Utd,22,1997,4.5,10,5,5,4,1,6,8,75.0,2,58,16,27.6,36,19,3,14,7,0,7,4,14,19,1,Matches
487,Cengiz Ünder\1880614f,tr TUR,MFFW,Leicester City,23,1997,3.1,3,3,0,2,1,1,5,20.0,4,44,15,34.1,11,18,15,5,0,0,5,3,6,0,0,Matches
488,Yan Valery\531a4aa8,fr FRA,DFMF,Southampton,21,1999,1.1,3,2,1,2,0,0,4,0.0,4,32,9,28.1,13,11,8,5,0,0,5,3,6,5,0,Matches
489,Jamie Vardy\45963054,eng ENG,FW,Leicester City,33,1987,31.6,15,8,3,5,7,3,15,20.0,12,295,79,26.8,14,102,179,16,5,0,11,8,23,29,0,Matches
490,Joël Veltman\dad4b285,nl NED,DF,Brighton,28,1992,25.3,77,41,47,22,8,33,63,52.4,30,312,92,29.5,141,122,49,35,4,0,31,35,112,84,0,Matches
491,Jannik Vestergaard\1900032e,dk DEN,DF,Southampton,27,1992,28.6,61,37,41,17,3,31,54,57.4,23,215,86,40.0,143,62,10,38,19,0,19,38,99,159,0,Matches
492,Rúben Vinagre\b937e490,pt POR,DF,Wolves,21,1999,1.9,5,3,3,2,0,2,5,40.0,3,26,5,19.2,13,9,4,4,0,0,4,1,6,6,0,Matches
493,Carlos Vinícius\8b529245,br BRA,FW,Tottenham,25,1995,3.4,1,0,1,0,0,1,1,100.0,0,51,14,27.5,4,21,26,2,0,0,2,1,2,5,0,Matches
494,João Virgínia\728e9b2e,pt POR,GK,Everton,20,1999,0.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
495,Vitinha\3b029691,pt POR,MF,Wolves,20,2000,5.8,10,7,3,6,1,0,7,0.0,7,127,41,32.3,30,76,21,3,0,0,3,4,14,2,0,Matches
496,Jake Vokins\d484c261,eng ENG,DF,Southampton,20,2000,0.7,0,0,0,0,0,0,1,0.0,1,10,2,20.0,6,4,0,0,0,0,0,0,0,1,0,Matches
497,Matěj Vydra\0d4ceb32,cz CZE,FW,Burnley,28,1992,15.2,9,6,3,3,3,1,9,11.1,8,281,79,28.1,11,103,167,15,1,0,14,5,14,7,0,Matches
498,Theo Walcott\1ecb65be,eng ENG,FW,Everton,31,1989,0.1,0,0,0,0,0,0,0,,0,5,1,20.0,3,2,0,0,0,0,0,0,0,0,0,Matches
499,Theo Walcott\1ecb65be,eng ENG,MFFW,Southampton,31,1989,18.0,29,18,12,12,5,11,41,26.8,30,340,101,29.7,93,148,99,23,1,0,22,9,38,6,0,Matches
500,Kyle Walker\86dd77d1,eng ENG,DF,Manchester City,30,1990,21.6,37,27,19,14,4,19,35,54.3,16,236,78,33.1,88,112,36,29,7,0,22,15,52,38,0,Matches
501,Kyle Walker-Peters\984a5a64,eng ENG,DF,Southampton,23,1997,29.4,83,43,57,23,3,26,57,45.6,31,422,126,29.9,219,160,43,70,15,0,55,40,123,68,1,Matches
502,Aaron Wan-Bissaka\9e525177,eng ENG,DF,Manchester Utd,22,1997,34.0,97,52,60,30,7,21,40,52.5,19,434,140,32.3,195,169,70,113,17,0,96,66,163,108,0,Matches
503,Joel Ward\8a7ff278,eng ENG,DF,Crystal Palace,30,1989,25.1,46,26,35,11,0,19,39,48.7,20,356,92,25.8,203,109,44,49,9,0,40,52,98,115,1,Matches
504,James Ward-Prowse\3515d404,eng ENG,MF,Southampton,25,1994,38.0,84,57,34,43,7,29,74,39.2,45,631,207,32.8,221,324,86,71,5,0,66,44,128,76,0,Matches
505,Ollie Watkins\aed3a70f,eng ENG,FW,Aston Villa,24,1995,37.0,35,22,5,18,12,10,30,33.3,20,626,166,26.5,36,246,344,19,3,0,16,12,47,25,0,Matches
506,Caleb Watts\c7170b46,au AUS,MFFW,Southampton,18,2002,0.4,2,1,2,0,0,2,5,40.0,3,20,7,35.0,9,8,3,3,0,0,3,0,2,0,0,Matches
507,Adam Webster\c40b6180,eng ENG,DF,Brighton,25,1995,28.8,30,21,18,10,2,14,32,43.8,18,214,87,40.7,97,93,24,51,21,1,30,40,70,123,0,Matches
508,Danny Welbeck\ce5143da,eng ENG,FW,Brighton,29,1990,17.2,12,8,3,6,3,4,15,26.7,11,255,61,23.9,43,99,113,23,3,0,20,5,17,11,0,Matches
509,Timo Werner\49fe9070,de GER,FW,Chelsea,24,1996,28.9,28,18,9,14,5,10,42,23.8,32,380,111,29.2,68,155,157,24,1,0,23,6,34,4,0,Matches
510,Ashley Westwood\495945ef,eng ENG,MF,Burnley,30,1990,37.9,25,14,9,12,4,5,40,12.5,35,492,133,27.0,155,265,72,50,10,0,40,48,73,49,0,Matches
511,Ben White\35e413f1,eng ENG,DFMF,Brighton,22,1997,35.5,56,33,28,24,4,24,64,37.5,40,409,142,34.7,184,188,37,69,25,0,44,45,101,78,2,Matches
512,Georginio Wijnaldum\eb58eef0,nl NED,MF,Liverpool,29,1990,32.7,30,24,9,16,5,9,34,26.5,25,425,154,36.2,122,215,88,37,3,0,34,25,55,24,1,Matches
513,Brandon Williams\5e74d6c8,eng ENG,DF,Manchester Utd,19,2000,2.1,1,1,0,1,0,0,1,0.0,1,15,4,26.7,6,8,1,5,0,0,5,9,10,3,0,Matches
514,Neco Williams\dd323728,wls WAL,DF,Liverpool,19,2001,2.8,6,5,4,2,0,3,8,37.5,5,45,13,28.9,17,18,10,8,1,0,7,5,11,4,0,Matches
515,Rhys Williams\012c975a,eng ENG,DF,Liverpool,19,2001,7.3,6,2,2,4,0,1,2,50.0,1,54,15,27.8,29,21,4,5,4,0,1,8,14,67,1,Matches
516,Willian\8b9ebd03,br BRA,FWMF,Arsenal,31,1988,15.6,16,6,8,7,1,7,25,28.0,18,192,49,25.5,44,77,71,22,0,0,22,12,28,4,0,Matches
517,Joe Willock\a3b03921,eng ENG,MF,Arsenal,20,1999,2.6,4,4,2,1,1,0,7,0.0,7,42,15,35.7,14,16,12,9,1,0,8,5,9,0,0,Matches
518,Joe Willock\a3b03921,eng ENG,MF,Newcastle Utd,20,1999,10.9,34,25,20,10,4,11,48,22.9,37,331,60,18.1,141,129,61,30,5,0,25,32,66,15,0,Matches
519,Callum Wilson\c596fcb0,eng ENG,FW,Newcastle Utd,28,1992,23.2,13,10,2,6,5,3,12,25.0,9,335,90,26.9,33,139,163,18,3,0,15,3,16,12,1,Matches
520,Harry Winks\2f7acede,eng ENG,MF,Tottenham,24,1996,9.6,24,14,15,9,0,9,22,40.9,13,161,52,32.3,70,74,17,12,4,0,8,16,40,12,0,Matches
521,Chris Wood\4e9a0555,nz NZL,FW,Burnley,28,1991,30.5,17,11,4,3,10,6,17,35.3,11,354,91,25.7,20,131,203,27,4,0,23,5,22,19,0,Matches
522,Granit Xhaka\e61b8aee,ch SUI,MFDF,Arsenal,27,1992,28.0,58,37,23,22,13,33,64,51.6,31,346,96,27.7,108,161,77,33,7,0,26,25,83,55,1,Matches
523,Andriy Yarmolenko\849c826a,ua UKR,FWMF,West Ham,30,1989,4.2,6,4,3,2,1,1,6,16.7,5,56,21,37.5,22,21,13,7,0,0,7,3,9,1,0,Matches
524,DeAndre Yedlin\ae0a7ddf,us USA,DF,Newcastle Utd,27,1993,4.8,10,6,10,0,0,4,12,33.3,8,65,20,30.8,37,17,11,9,1,0,8,3,13,19,0,Matches
525,Okay Yokuşlu\e49ce451,tr TUR,MF,West Brom,26,1994,14.6,47,33,25,20,2,16,37,43.2,21,284,89,31.3,127,132,25,25,3,0,22,42,89,40,1,Matches
526,Wilfried Zaha\b2bc3b1f,ci CIV,FW,Crystal Palace,27,1992,29.0,34,24,15,14,5,9,30,30.0,21,568,139,24.5,108,274,186,21,0,0,21,27,61,2,0,Matches
527,Andre-Frank Zambo Anguissa\6bb2c084,cm CMR,MF,Fulham,24,1995,28.7,87,53,27,46,14,23,57,40.4,34,562,164,29.2,172,275,115,47,7,0,40,55,142,34,1,Matches
528,Andi Zeqiri\d01231f0,ch SUI,FWDF,Brighton,21,1999,1.9,3,3,0,2,1,0,1,0.0,1,39,9,23.1,8,20,11,2,1,0,1,0,3,1,0,Matches
529,Oleksandr Zinchenko\51cf8561,ua UKR,DF,Manchester City,23,1996,16.4,21,13,9,7,5,14,28,50.0,14,149,45,30.2,56,64,29,26,4,0,22,20,41,49,0,Matches
530,Hakim Ziyech\6622454d,ma MAR,FWMF,Chelsea,27,1993,13.0,10,7,4,4,2,5,20,25.0,15,223,61,27.4,47,92,84,14,1,0,13,10,20,1,0,Matches
531,Kurt Zouma\ce4246f5,fr FRA,DF,Chelsea,25,1994,22.5,21,13,12,7,2,6,11,54.5,5,109,40,36.7,52,53,4,23,12,0,11,26,47,129,2,Matches
532,Martin Ødegaard\79300479,no NOR,MF,Arsenal,21,1998,9.6,7,5,1,4,2,2,10,20.0,8,184,44,23.9,36,79,69,3,0,0,3,5,12,5,0,Matches
