,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
423,Morgan Sanson\6e7f1353,fr FRA,MF,Aston Villa,27-224,1994,9,2,285,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
424,Samir Santos\92b4758e,br BRA,DF,Watford,27-115,1994,11,11,989,11.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
425,Josh Sargent\a8d4428b,us USA,FWMF,Norwich City,22-038,2000,25,18,1558,17.3,2,1,2,0,0,1,0,0.12,0.06,0.17,0.12,0.17,2.7,2.7,0.7,3.5,0.16,0.04,0.20,0.16,0.20,Matches
426,Jeremy Sarmiento\ac0d576d,ec ECU,FW,Brighton,19-287,2002,2,1,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
427,Ismaila Sarr\bfdb33aa,sn SEN,FWMF,Watford,24-033,1998,16,15,1344,14.9,5,1,5,0,1,2,0,0.33,0.07,0.40,0.33,0.40,3.5,2.8,2.2,5.0,0.24,0.15,0.38,0.19,0.33,Matches
428,Malang Sarr\4315f30d,fr FRA,DF,Chelsea,23-066,1999,5,5,420,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.07,0.08,0.01,0.08,Matches
429,Dane Scarlett\21945a9e,eng ENG,MF,Tottenham,18-006,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
430,Fabian Schär\c8aa95da,ch SUI,DF,Newcastle Utd,30-100,1991,19,19,1690,18.8,1,2,1,0,0,3,0,0.05,0.11,0.16,0.05,0.16,1.1,1.1,0.4,1.6,0.06,0.02,0.08,0.06,0.08,Matches
431,Jeffrey Schlupp\3312f911,gh GHA,MFFW,Crystal Palace,29-097,1992,23,14,1292,14.4,3,1,3,0,0,1,0,0.21,0.07,0.28,0.21,0.28,1.9,1.9,1.1,3.0,0.13,0.07,0.21,0.13,0.21,Matches
432,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,35-145,1986,27,27,2430,27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
433,Ken Sema\1770bd68,se SWE,MFFW,Watford,28-181,1993,14,4,553,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.10,0.11,0.01,0.11,Matches
434,Nélson Semedo\d04b94db,pt POR,DF,Wolves,28-134,1993,23,23,1989,22.1,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,1.3,1.3,1.1,2.4,0.06,0.05,0.11,0.06,0.11,Matches
435,Ryan Sessegnon\6aa3e78b,eng ENG,DFMF,Tottenham,21-316,2000,9,7,537,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,0.8,0.9,0.03,0.13,0.16,0.03,0.16,Matches
436,Jamie Shackleton\8d03ca5a,eng ENG,DFMF,Leeds United,22-173,1999,13,7,686,7.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.01,0.03,0.02,0.03,Matches
437,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,26-261,1995,19,18,1556,17.3,0,3,0,0,0,7,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,3.1,3.3,0.01,0.18,0.19,0.01,0.19,Matches
438,Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,30-031,1992,19,17,1533,17.0,2,1,2,0,0,7,1,0.12,0.06,0.18,0.12,0.18,0.8,0.8,0.7,1.5,0.04,0.04,0.09,0.04,0.09,Matches
439,Francisco Sierralta\0f933743,cl CHI,DF,Watford,24-328,1997,5,5,427,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
440,Bernardo Silva\3eb22ec9,pt POR,MFFW,Manchester City,27-232,1994,28,28,2406,26.7,7,2,7,0,0,5,0,0.26,0.07,0.34,0.26,0.34,6.4,6.4,4.5,10.9,0.24,0.17,0.41,0.24,0.41,Matches
441,Fábio Silva\e7aa9d7c,pt POR,FWMF,Wolves,19-254,2002,17,2,265,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.32,0.03,0.35,0.32,0.35,Matches
442,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,37-189,1984,23,20,1913,21.3,3,0,3,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.7,0.7,0.1,0.8,0.03,0.01,0.04,0.03,0.04,Matches
443,Ellis Simms\26d3b5be,eng ENG,FW,Everton,21-084,2001,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
444,Moussa Sissoko\2acd49b9,fr FRA,MF,Watford,32-226,1989,27,27,2410,26.8,2,1,2,0,0,4,0,0.07,0.04,0.11,0.07,0.11,2.3,2.3,2.4,4.7,0.09,0.09,0.18,0.09,0.18,Matches
445,Oliver Skipp\6250083a,eng ENG,MF,Tottenham,21-195,2000,18,14,1350,15.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07,Matches
446,William Smallbone\5e105217,ie IRL,MFFW,Southampton,22-037,2000,2,2,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.07,0.14,0.06,0.14,Matches
447,Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,21-245,2000,24,16,1506,16.7,9,2,9,0,0,0,0,0.54,0.12,0.66,0.54,0.66,4.7,4.7,2.0,6.7,0.28,0.12,0.40,0.28,0.40,Matches
448,Cédric Soares\839c14e1,pt POR,DF,Arsenal,30-211,1991,11,9,832,9.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.02,0.05,0.07,0.02,0.07,Matches
449,Tomáš Souček\6613c819,cz CZE,MF,West Ham,27-031,1995,28,28,2508,27.9,4,1,4,0,0,2,0,0.14,0.04,0.18,0.14,0.18,4.2,3.8,1.4,5.2,0.15,0.05,0.20,0.14,0.19,Matches
450,Boubakary Soumaré\ae59b359,fr FRA,MF,Leicester City,23-031,1999,18,11,1036,11.5,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.2,0.6,0.04,0.02,0.06,0.04,0.06,Matches
451,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,25-311,1996,24,24,2137,23.7,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.1,1.5,0.06,0.00,0.06,0.06,0.06,Matches
452,Jason Steele\28300a16,eng ENG,GK,Brighton,31-224,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
453,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,29-188,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
454,Zack Steffen\42130443,us USA,GK,Manchester City,26-362,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
455,Dale Stephens\653ee42d,eng ENG,MF,Burnley,32-291,1989,2,1,123,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.04,0.06,0.02,0.06,Matches
456,Jack Stephens\6adbc307,eng ENG,DF,Southampton,28-062,1994,9,7,631,7.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.04,0.04,0.00,0.04,Matches
457,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,27-112,1994,23,17,1569,17.4,10,1,8,2,3,1,0,0.57,0.06,0.63,0.46,0.52,10.1,7.6,3.4,10.9,0.58,0.19,0.77,0.43,0.63,Matches
458,Finley Stevens\7e003182,wls WAL,DF,Brentford,18-354,2003,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.25,0.25,0.00,0.25,Matches
459,John Stones\5eecec3d,eng ENG,DF,Manchester City,27-306,1994,11,9,863,9.6,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,0.9,0.9,0.1,0.9,0.09,0.01,0.10,0.09,0.10,Matches
460,Pascal Struijk\f4d296e4,nl NED,DFMF,Leeds United,22-231,1999,23,20,1783,19.8,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,1.3,0.05,0.01,0.06,0.05,0.06,Matches
461,Crysencio Summerville\df04eb4b,nl NED,MFFW,Leeds United,20-151,2001,5,0,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.19,0.03,0.22,0.19,0.22,Matches
462,Jakob Sørensen\953c30b0,dk DEN,DFMF,Norwich City,24-027,1998,6,4,370,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.09,0.00,0.09,0.09,0.09,Matches
463,Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,22-364,1999,11,10,735,8.2,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.05,0.05,0.09,0.05,0.09,Matches
464,Matt Targett\e514ab62,eng ENG,DF,Newcastle Utd,26-193,1995,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,1.0,0.03,0.12,0.15,0.03,0.15,Matches
465,Matt Targett\e514ab62,eng ENG,DF,Aston Villa,26-193,1995,17,17,1431,15.9,1,1,1,0,0,2,0,0.06,0.06,0.13,0.06,0.13,0.5,0.5,2.2,2.7,0.03,0.14,0.17,0.03,0.17,Matches
466,James Tarkowski\15ea812b,eng ENG,DF,Burnley,29-131,1992,25,25,2250,25.0,1,2,1,0,0,8,0,0.04,0.08,0.12,0.04,0.12,1.5,1.5,0.4,1.9,0.06,0.02,0.08,0.06,0.08,Matches
467,Nuno Tavares\a65c844b,pt POR,DF,Arsenal,22-063,2000,14,6,626,7.0,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.6,0.6,0.8,1.4,0.09,0.12,0.21,0.09,0.21,Matches
468,Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,28-193,1993,20,19,1741,19.3,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,1.7,1.8,0.01,0.09,0.09,0.01,0.09,Matches
469,Nathan Tella\f1e94cd6,eng ENG,MFFW,Southampton,22-268,1999,10,7,586,6.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.07,0.11,0.18,0.07,0.18,Matches
470,Alex Telles\e73c9bb2,br BRA,DF,Manchester Utd,29-105,1992,13,11,1002,11.1,0,2,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,0.4,0.4,1.0,1.4,0.04,0.09,0.13,0.04,0.13,Matches
471,Luke Thomas\fc027d02,eng ENG,DF,Leicester City,20-293,2001,18,17,1552,17.2,0,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,1.3,1.4,0.01,0.07,0.08,0.01,0.08,Matches
472,Dominic Thompson\235a62f8,eng ENG,DF,Brentford,21-247,2000,2,2,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
473,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,24-327,1997,22,20,1811,20.1,6,2,4,2,2,1,0,0.30,0.10,0.40,0.20,0.30,4.3,2.8,3.3,6.1,0.21,0.16,0.38,0.14,0.30,Matches
474,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,24-298,1997,22,22,1915,21.3,1,3,1,0,0,0,0,0.05,0.14,0.19,0.05,0.19,0.7,0.7,1.9,2.6,0.03,0.09,0.12,0.03,0.12,Matches
475,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Arsenal,23-145,1998,16,16,1383,15.4,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.6,0.9,0.02,0.04,0.06,0.02,0.06,Matches
476,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,33-001,1989,8,6,547,6.1,1,0,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,0.6,0.6,0.4,0.9,0.09,0.06,0.15,0.09,0.15,Matches
477,Ivan Toney\e09f279b,eng ENG,FW,Brentford,26-014,1996,25,24,2189,24.3,11,2,6,5,5,6,0,0.45,0.08,0.53,0.25,0.33,9.2,5.4,4.2,9.5,0.38,0.17,0.55,0.22,0.39,Matches
478,Ferrán Torres\9e1035f8,es ESP,FW,Manchester City,22-029,2000,4,4,303,3.4,2,1,2,0,0,0,0,0.59,0.30,0.89,0.59,0.89,2.5,2.5,0.0,2.5,0.74,0.01,0.75,0.74,0.75,Matches
479,Cenk Tosun\9a104dee,tr TUR,FW,Everton,30-296,1991,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
480,Andros Townsend\b28bbd58,eng ENG,MF,Everton,30-257,1991,21,17,1455,16.2,3,2,2,1,1,3,0,0.19,0.12,0.31,0.12,0.25,2.3,1.5,2.4,3.9,0.14,0.15,0.29,0.09,0.24,Matches
481,Adama Traoré\9a28eba4,es ESP,FW,Wolves,26-064,1996,20,10,1067,11.9,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,2.4,2.4,1.7,4.1,0.20,0.15,0.35,0.20,0.35,Matches
482,Bertrand Traoré\c47541e0,bf BFA,FWMF,Aston Villa,26-205,1995,7,1,176,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches
483,Trézéguet\3ae14ed1,eg EGY,FW,Aston Villa,27-180,1994,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.51,0.00,0.51,0.51,0.51,Matches
484,Francisco Trincão\77e39b04,pt POR,FWMF,Wolves,22-091,1999,22,14,1139,12.7,1,1,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,2.9,2.9,1.2,4.1,0.23,0.10,0.33,0.23,0.33,Matches
485,Kieran Trippier\21512407,eng ENG,DF,Newcastle Utd,31-192,1990,4,4,316,3.5,2,0,2,0,0,0,0,0.57,0.00,0.57,0.57,0.57,0.1,0.1,0.4,0.5,0.04,0.11,0.15,0.04,0.15,Matches
486,William Troost-Ekong\7ed4921e,ng NGA,DF,Watford,28-210,1993,16,15,1377,15.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.01,0.01,0.01,Matches
487,Leandro Trossard\38ceb24a,be BEL,FWMF,Brighton,27-116,1994,27,25,2195,24.4,4,1,3,1,1,2,0,0.16,0.04,0.21,0.12,0.16,4.9,4.1,2.0,6.2,0.20,0.08,0.28,0.17,0.25,Matches
488,Kostas Tsimikas\f315ca93,gr GRE,DF,Liverpool,25-322,1996,10,7,670,7.4,0,2,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27,0.5,0.5,1.7,2.2,0.07,0.23,0.30,0.07,0.30,Matches
489,Axel Tuanzebe\2baec6ce,eng ENG,DF,Aston Villa,24-136,1997,9,6,508,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matches
490,Ozan Tufan\17d45fb2,tr TUR,MF,Watford,27-007,1995,7,4,334,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.8,0.14,0.07,0.20,0.14,0.20,Matches
491,Christos Tzolis\9f333379,gr GRE,FWMF,Norwich City,20-059,2002,11,3,308,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.0,1.4,0.14,0.28,0.42,0.14,0.42,Matches
492,Yan Valery\531a4aa8,fr FRA,DF,Southampton,23-036,1999,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.06,0.09,0.03,0.09,Matches
493,Raphaël Varane\9f8e9423,fr FRA,DF,Manchester Utd,28-339,1993,17,15,1381,15.3,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,0.1,0.9,0.05,0.01,0.06,0.05,0.06,Matches
494,Jamie Vardy\45963054,eng ENG,FW,Leicester City,35-078,1987,18,16,1400,15.6,10,2,10,0,0,2,0,0.64,0.13,0.77,0.64,0.77,6.6,6.6,1.4,8.0,0.42,0.09,0.51,0.42,0.51,Matches
495,Joël Veltman\dad4b285,nl NED,DF,Brighton,30-074,1992,25,24,2064,22.9,0,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,0.2,0.2,1.0,1.2,0.01,0.05,0.05,0.01,0.05,Matches
496,Jannik Vestergaard\1900032e,dk DEN,DF,Leicester City,29-239,1992,10,6,567,6.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.01,0.01,0.01,0.01,Matches
497,Nikola Vlašić\aa8e289e,hr CRO,FWMF,West Ham,24-177,1997,16,5,456,5.1,1,0,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,1.0,1.0,0.4,1.4,0.19,0.08,0.27,0.19,0.27,Matches
498,Matěj Vydra\0d4ceb32,cz CZE,FW,Burnley,29-333,1992,16,3,449,5.0,1,1,1,0,0,0,0,0.20,0.20,0.40,0.20,0.40,2.0,2.0,0.2,2.3,0.41,0.04,0.45,0.41,0.45,Matches
499,Theo Walcott\1ecb65be,eng ENG,MFFW,Southampton,33-014,1989,9,5,379,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.17,0.01,0.18,0.17,0.18,Matches
500,Kyle Walker\86dd77d1,eng ENG,DF,Manchester City,31-306,1990,18,18,1575,17.5,0,2,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,1.2,1.4,0.01,0.07,0.08,0.01,0.08,Matches
501,Kyle Walker-Peters\984a5a64,eng ENG,DF,Southampton,24-351,1997,23,20,1831,20.3,1,2,1,0,0,5,0,0.05,0.10,0.15,0.05,0.15,0.7,0.7,2.4,3.1,0.04,0.12,0.15,0.04,0.15,Matches
502,Aaron Wan-Bissaka\9e525177,eng ENG,DF,Manchester Utd,24-124,1997,18,18,1613,17.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Matches
503,Joel Ward\8a7ff278,eng ENG,DF,Crystal Palace,32-152,1989,23,23,2070,23.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.01,0.02,0.03,0.01,0.03,Matches
504,James Ward-Prowse\3515d404,eng ENG,MF,Southampton,27-149,1994,27,27,2405,26.7,6,4,3,3,3,3,1,0.22,0.15,0.37,0.11,0.26,3.7,1.5,5.3,6.7,0.14,0.20,0.34,0.05,0.25,Matches
505,Ollie Watkins\aed3a70f,eng ENG,FW,Aston Villa,26-090,1995,26,24,2165,24.1,7,1,7,0,0,6,0,0.29,0.04,0.33,0.29,0.33,8.0,8.0,2.4,10.4,0.33,0.10,0.43,0.33,0.43,Matches
506,Adam Webster\c40b6180,eng ENG,DF,Brighton,27-085,1995,15,14,1167,13.0,2,0,2,0,0,4,0,0.15,0.00,0.15,0.15,0.15,1.0,1.0,0.1,1.1,0.08,0.00,0.08,0.08,0.08,Matches
507,Wout Weghorst\c4e87b8b,nl NED,FW,Burnley,29-235,1992,9,9,752,8.4,1,2,1,0,0,1,0,0.12,0.24,0.36,0.12,0.36,1.5,1.5,0.5,2.0,0.18,0.06,0.24,0.18,0.24,Matches
508,Danny Welbeck\ce5143da,eng ENG,FWMF,Brighton,31-124,1990,16,7,727,8.1,3,0,3,0,0,0,0,0.37,0.00,0.37,0.37,0.37,1.7,1.7,0.1,1.8,0.21,0.02,0.23,0.21,0.23,Matches
509,Timo Werner\49fe9070,de GER,FWMF,Chelsea,26-024,1996,14,8,738,8.2,1,1,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,3.6,3.6,0.2,3.7,0.44,0.02,0.46,0.44,0.46,Matches
510,Ashley Westwood\495945ef,eng ENG,MF,Burnley,31-363,1990,23,22,1987,22.1,0,3,0,0,0,7,0,0.00,0.14,0.14,0.00,0.14,0.5,0.5,3.4,4.0,0.02,0.16,0.18,0.02,0.18,Matches
511,Ben White\35e413f1,eng ENG,DF,Arsenal,24-173,1997,26,26,2340,26.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.5,1.5,0.04,0.02,0.06,0.04,0.06,Matches
512,Brandon Williams\5e74d6c8,eng ENG,DF,Norwich City,21-208,2000,23,21,1933,21.5,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,1.3,1.3,0.00,0.06,0.06,0.00,0.06,Matches
513,Neco Williams\dd323728,wls WAL,DF,Liverpool,20-351,2001,1,0,8,0.1,0,1,0,0,0,0,0,0.00,11.25,11.25,0.00,11.25,0.0,0.0,0.6,0.6,0.00,6.50,6.50,0.00,6.50,Matches
514,Joe Willock\a3b03921,eng ENG,MF,Newcastle Utd,22-222,1999,24,21,1756,19.5,2,0,2,0,0,0,0,0.10,0.00,0.10,0.10,0.10,3.0,3.0,1.0,4.0,0.15,0.05,0.21,0.15,0.21,Matches
515,Callum Wilson\c596fcb0,eng ENG,FW,Newcastle Utd,30-031,1992,15,14,1184,13.2,6,0,5,1,1,4,0,0.46,0.00,0.46,0.38,0.38,4.4,3.6,0.4,4.1,0.33,0.03,0.37,0.28,0.31,Matches
516,Harry Winks\2f7acede,eng ENG,MF,Tottenham,26-056,1996,14,9,844,9.4,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,1.5,1.6,0.01,0.16,0.17,0.01,0.17,Matches
517,Yoane Wissa\2500cef9,cd COD,FWMF,Brentford,25-208,1996,22,7,864,9.6,4,0,4,0,0,0,0,0.42,0.00,0.42,0.42,0.42,1.9,1.9,0.4,2.3,0.20,0.04,0.24,0.20,0.24,Matches
518,Chris Wood\4e9a0555,nz NZL,FW,Newcastle Utd,30-113,1991,10,10,900,10.0,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,1.8,1.8,0.8,2.6,0.18,0.08,0.26,0.18,0.26,Matches
519,Chris Wood\4e9a0555,nz NZL,FW,Burnley,30-113,1991,17,17,1367,15.2,3,0,3,0,0,1,0,0.20,0.00,0.20,0.20,0.20,4.5,4.5,0.2,4.7,0.30,0.02,0.31,0.30,0.31,Matches
520,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,25-026,1997,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
521,Granit Xhaka\e61b8aee,ch SUI,MF,Arsenal,29-184,1992,17,17,1455,16.2,0,1,0,0,0,6,1,0.00,0.06,0.06,0.00,0.06,0.8,0.8,1.6,2.4,0.05,0.10,0.15,0.05,0.15,Matches
522,Andriy Yarmolenko\849c826a,ua UKR,FWMF,West Ham,32-158,1989,13,0,169,1.9,1,0,1,0,0,1,0,0.53,0.00,0.53,0.53,0.53,0.5,0.5,0.0,0.5,0.27,0.02,0.29,0.27,0.29,Matches
523,Ashley Young\be927d03,eng ENG,DFFW,Aston Villa,36-264,1985,19,9,1050,11.7,0,2,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,0.3,0.7,0.03,0.03,0.06,0.03,0.06,Matches
524,Wilfried Zaha\b2bc3b1f,ci CIV,FW,Crystal Palace,29-140,1992,24,23,2021,22.5,9,1,6,3,4,5,1,0.40,0.04,0.45,0.27,0.31,5.9,2.8,4.0,6.9,0.26,0.18,0.44,0.13,0.31,Matches
525,Christoph Zimmermann\2d5f03bf,de GER,DF,Norwich City,29-077,1993,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.08,0.00,0.08,0.08,0.08,Matches
526,Oleksandr Zinchenko\51cf8561,ua UKR,DF,Manchester City,25-105,1996,8,6,597,6.6,0,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.9,1.1,0.02,0.14,0.16,0.02,0.16,Matches
527,Hakim Ziyech\6622454d,ma MAR,FWMF,Chelsea,29-011,1993,15,11,966,10.7,4,2,4,0,0,3,0,0.37,0.19,0.56,0.37,0.56,2.9,2.9,2.3,5.3,0.27,0.22,0.49,0.27,0.49,Matches
528,Kurt Zouma\ce4246f5,fr FRA,DF,West Ham,27-154,1994,18,18,1600,17.8,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.0,0.8,0.05,0.00,0.05,0.05,0.05,Matches
529,Martin Ødegaard\79300479,no NOR,MF,Arsenal,23-103,1998,26,22,1886,21.0,5,3,5,0,0,2,0,0.24,0.14,0.38,0.24,0.38,3.3,3.3,4.8,8.1,0.16,0.23,0.39,0.16,0.39,Matches
